adult,budget,original_language,popularity,revenue,runtime,title,vote_average,vote_count,genres_list,production_companies_list,production_countries_list,spoken_languages_list,release_year,movieId
False,90000000,en,15.138855,366101666.0,128.0,Die Hard: With a Vengeance,6.9,2094.0,"['Action', 'Thriller']","['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']",['United States of America'],"['English', 'Deutsch', 'Română']",1995,165
False,55000000,en,15.178338,127600435.0,134.0,First Knight,5.9,319.0,"['Action', 'Adventure', 'Drama', 'Romance']","['Columbia Pictures Corporation', 'First Knight Productions']",['United States of America'],"['English', 'Français']",1995,168
False,20000000,en,14.810519,7563728.0,107.0,Hackers,6.2,406.0,"['Action', 'Crime', 'Thriller', 'Drama']","['United Artists', 'Suftley']",['United States of America'],"['English', 'Italiano', '日本語', 'Pусский']",1995,170
False,25000000,en,11.715868,19075720.0,97.0,Johnny Mnemonic,5.5,380.0,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']","['TriStar Pictures', 'Alliance Communications Corporation']","['Canada', 'United States of America']","['English', '日本語']",1995,172
False,90000000,en,8.184815,113493481.0,96.0,Judge Dredd,5.4,643.0,['Science Fiction'],"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],['English'],1995,173
False,1500000,en,4.877872,7412216.0,91.0,Kids,6.8,280.0,"['Drama', 'Crime']",['Miramax Films'],['United States of America'],['English'],1995,175
False,6000000,en,8.25547,2122561.0,94.0,Mallrats,6.8,400.0,"['Romance', 'Comedy']","['Universal Pictures', 'Gramercy Pictures', 'Alphaville Films', 'View Askew Productions']",['United States of America'],['English'],1995,180
False,22000000,en,13.304342,110627965.0,114.0,The Net,5.6,359.0,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",['Columbia Pictures'],['United States of America'],"['English', 'Español']",1995,185
False,35000000,en,13.492845,113374103.0,108.0,Species,5.5,457.0,"['Science Fiction', 'Horror', 'Action']",['Metro-Goldwyn-Mayer (MGM)'],['United States of America'],['English'],1995,196
False,42000000,en,11.223055,7959291.0,145.0,Strange Days,6.8,334.0,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",['Lightstorm Entertainment'],['United States of America'],['English'],1995,198
False,175000000,en,16.885184,264218220.0,135.0,Waterworld,5.9,1017.0,"['Adventure', 'Action']","['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']",['United States of America'],"['English', 'Deutsch', 'Español']",1995,208
False,2500000,en,11.304979,5535405.0,105.0,Before Sunrise,7.7,984.0,"['Drama', 'Romance']","['Detour Film Production', 'Warner Bros.']","['Austria', 'Switzerland', 'United States of America']","['English', 'Deutsch', 'Français']",1995,215
False,10000000,en,6.638116,26488734.0,89.0,Billy Madison,6.2,464.0,['Comedy'],['Jack Giarraputo Productions'],['United States of America'],"['Français', 'Español', 'English']",1995,216
False,27000,en,10.513367,3151130.0,92.0,Clerks,7.4,769.0,['Comedy'],"['Miramax Films', 'View Askew Productions']",['United States of America'],['English'],1994,223
False,16000000,en,9.844558,247275374.0,107.0,Dumb and Dumber,6.5,1894.0,['Comedy'],"['New Line Cinema', 'Motion Picture Corporation of America (MPCA)']",['United States of America'],['English'],1994,231
False,18000000,en,11.720358,5887457.0,127.0,Ed Wood,7.3,639.0,"['Comedy', 'Drama', 'History']",['Touchstone Pictures'],['United States of America'],['English'],1994,235
False,5000000,en,9.438042,3049135.0,99.0,Heavenly Creatures,6.9,299.0,"['Drama', 'Fantasy']","['WingNut Films', 'Miramax Films', 'New Zealand Film Commission', 'Fontana Productions']",['New Zealand'],['English'],1994,247
False,60000000,en,11.970205,223664608.0,123.0,Interview with the Vampire,7.2,1558.0,"['Horror', 'Romance']",['Geffen Pictures'],['United States of America'],"['English', 'Français']",1994,253
False,60000000,en,6.710215,37000000.0,109.0,Junior,4.7,381.0,"['Comedy', 'Family', 'Romance']","['Universal Pictures', 'Northern Lights Entertainment']",['United States of America'],['English'],1994,256
False,11000000,en,42.149697,775398007.0,121.0,Star Wars,8.1,6778.0,"['Adventure', 'Action', 'Science Fiction']","['Lucasfilm', 'Twentieth Century Fox Film Corporation']",['United States of America'],['English'],1977,260
False,30000000,en,12.199047,160638883.0,133.0,Legends of the Fall,7.2,636.0,"['Adventure', 'Drama', 'Romance', 'War']","['Bedford Falls Productions', 'TriStar Pictures', 'Pangaea']",['United States of America'],"['', 'English']",1994,266
False,45000000,en,14.287753,112006296.0,123.0,Mary Shelley's Frankenstein,6.1,272.0,"['Drama', 'Horror', 'Science Fiction', 'Romance']","['American Zoetrope', 'TriStar Pictures']","['United Kingdom', 'Japan', 'United States of America']",['English'],1994,273
False,34000000,en,11.226856,50282766.0,119.0,Natural Born Killers,6.9,927.0,"['Crime', 'Thriller', 'Drama']","['Regency Enterprises', 'Alcor Films', 'Ixtlan', 'Warner Bros.', 'New Regency Pictures', 'J D Productions']",['United States of America'],"['English', '', '日本語']",1994,288
False,50000000,en,13.676444,189859560.0,127.0,Outbreak,6.4,522.0,"['Action', 'Drama', 'Science Fiction', 'Thriller']","['Kopelson Entertainment', 'Punch Productions', 'Warner Bros.', 'Arnold Kopelson Productions']",['United States of America'],"['English', '한국어/조선말', 'Français']",1995,292
False,16000000,fr,20.477329,45284974.0,110.0,Leon: The Professional,8.2,4293.0,"['Thriller', 'Crime', 'Drama']","['Columbia Pictures', 'Gaumont']","['France', 'United States of America']",['English'],1994,293
False,8000000,en,140.950236,213928762.0,154.0,Pulp Fiction,8.3,8670.0,"['Thriller', 'Crime']","['Miramax Films', 'A Band Apart', 'Jersey Films']",['United States of America'],"['English', 'Español', 'Français']",1994,296
False,32000000,en,7.54701,18552460.0,107.0,The Quick and the Dead,6.2,431.0,"['Action', 'Western']",['TriStar Pictures'],"['Japan', 'United States of America']",['English'],1995,303
False,45000000,en,10.388183,170362582.0,110.0,The Specialist,5.5,317.0,"['Action', 'Thriller']","['Jerry Weintraub Productions', 'Warner Bros.', 'Iguana Producciones']","['Peru', 'United States of America']",['English'],1994,315
False,55000000,en,13.328924,196567262.0,121.0,Stargate,6.8,942.0,"['Action', 'Adventure', 'Science Fiction']","['Centropolis Entertainment', 'StudioCanal', 'Carolco Entertainment']","['France', 'United States of America']","['English', 'Norsk', 'svenska']",1994,316
False,22000000,en,9.665424,189833357.0,97.0,The Santa Clause,6.3,501.0,"['Fantasy', 'Drama', 'Comedy', 'Family']","['Walt Disney Pictures', 'Hollywood Pictures']",['United States of America'],['English'],1994,317
False,25000000,en,51.645403,28341469.0,142.0,The Shawshank Redemption,8.5,8358.0,"['Drama', 'Crime']","['Castle Rock Entertainment', 'Warner Bros.']",['United States of America'],['English'],1994,318
False,38000000,en,8.105708,120000000.0,118.0,Star Trek: Generations,6.4,461.0,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['Paramount Pictures'],['United States of America'],['English'],1994,329
False,11000000,en,10.3919,10032765.0,118.0,What's Eating Gilbert Grape,7.5,943.0,"['Romance', 'Drama']",['Paramount Pictures'],['United States of America'],['English'],1993,337
False,17000000,en,15.783615,182057016.0,103.0,While You Were Sleeping,6.5,340.0,"['Comedy', 'Drama', 'Romance']","['Caravan Pictures', 'Hollywood Pictures']",['United States of America'],['English'],1995,339
False,15000000,en,11.247957,107217396.0,86.0,Ace Ventura: Pet Detective,6.4,1684.0,"['Comedy', 'Mystery']","['Warner Bros.', 'Morgan Creek Productions']",['United States of America'],['English'],1994,344
False,62000000,en,7.513245,215887717.0,141.0,Clear and Present Danger,6.4,390.0,"['Action', 'Drama', 'Thriller']","['Paramount Pictures', 'Mace Neufeld Productions']",['United States of America'],['English'],1994,349
False,45000000,en,15.263829,117615211.0,119.0,The Client,6.4,287.0,"['Drama', 'Thriller', 'Crime', 'Mystery']","['Regency Enterprises', 'Alcor Films', 'Warner Bros.']",['United States of America'],['English'],1994,350
False,15000000,en,15.799336,94000000.0,102.0,The Crow,7.3,980.0,"['Fantasy', 'Action', 'Thriller']","['Miramax Films', 'Crowvision Inc.', 'Entertainment Media Investment Corporation', 'Jeff Most Productions', 'Edward R. Pressman Film']",['United States of America'],['English'],1994,353
False,46000000,en,15.019586,341631208.0,91.0,The Flintstones,5.0,559.0,"['Fantasy', 'Comedy', 'Family']","['Universal Pictures', 'Amblin Entertainment', 'Hanna-Barbera Productions']",['United States of America'],['English'],1994,355
False,55000000,en,48.307194,677945399.0,142.0,Forrest Gump,8.2,8147.0,"['Comedy', 'Drama', 'Romance']",['Paramount Pictures'],['United States of America'],['English'],1994,356
False,6000000,en,8.990345,254700832.0,117.0,Four Weddings and a Funeral,6.6,654.0,"['Comedy', 'Drama', 'Romance']","['Channel Four Films', 'PolyGram Filmed Entertainment', 'Working Title Films']",['United Kingdom'],['English'],1994,357
False,45000000,en,21.605761,788241776.0,89.0,The Lion King,8.0,5520.0,"['Family', 'Animation', 'Drama']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],['English'],1994,364
False,14000000,en,9.860522,18090181.0,112.0,New Nightmare,6.4,297.0,"['Horror', 'Thriller', 'Mystery', 'Fantasy']",['New Line Cinema'],['United States of America'],['English'],1994,366
False,23000000,en,14.13488,351583407.0,101.0,The Mask,6.6,2550.0,"['Romance', 'Comedy', 'Crime', 'Fantasy']","['New Line Cinema', 'Dark Horse Entertainment']",['United States of America'],"['svenska', 'English']",1994,367
False,30000000,en,10.859292,350448145.0,116.0,Speed,6.8,1814.0,"['Action', 'Adventure', 'Crime']",['Twentieth Century Fox Film Corporation'],['United States of America'],['English'],1994,377
False,27000000,en,8.907074,101646581.0,99.0,Timecop,5.5,288.0,"['Thriller', 'Science Fiction', 'Action', 'Crime']","['Universal Pictures', 'Renaissance Pictures', 'Dark Horse Entertainment', 'Largo Entertainment', 'Signature Pictures', 'JVC Entertainment Networks']","['Japan', 'United States of America']",['English'],1994,379
False,115000000,en,11.396099,378882411.0,141.0,True Lies,6.8,1138.0,"['Action', 'Thriller']","['Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",['United States of America'],"['English', 'Français', 'العربية', 'Deutsch']",1994,380
False,35000000,en,13.58449,99423521.0,102.0,Street Fighter,4.1,330.0,"['Action', 'Adventure', 'Thriller']","['Universal Pictures', 'Capcom']","['Japan', 'United States of America']","['English', '日本語']",1994,393
False,8000000,en,8.497643,8946600.0,95.0,In the Mouth of Madness,7.1,307.0,"['Horror', 'Mystery', 'Thriller']",['New Line Cinema'],['United States of America'],['English'],1994,407
False,50000000,en,11.787784,119208989.0,104.0,Beverly Hills Cop III,5.5,445.0,"['Action', 'Comedy', 'Crime']","['Paramount Pictures', 'Eddie Murphy Productions']",['United States of America'],['English'],1994,420
False,22000000,en,6.115628,17287898.0,121.0,A Bronx Tale,7.4,447.0,"['Drama', 'Crime']","['HBO Films', 'Savoy Pictures']",['United States of America'],"['English', 'Italiano']",1993,428
False,30000000,en,8.698509,36516012.0,144.0,Carlito's Way,7.7,805.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Universal Pictures', 'Epic Productions', 'Bregman/Baer Productions']",['United States of America'],"['English', 'Español']",1993,431
False,70000000,en,9.830853,255000211.0,112.0,Cliffhanger,6.1,600.0,"['Action', 'Adventure', 'Thriller']","['TriStar Pictures', 'Canal+', 'Carolco Pictures', 'RCS Video', 'Cliffhanger Productions', 'Pioneer']","['France', 'Italy', 'United States of America']",['English'],1993,434
False,6900000,en,6.8652,7993039.0,102.0,Dazed and Confused,7.4,588.0,"['Comedy', 'Drama']","['Gramercy Pictures', 'Alphaville Productions', 'The Criterion Collection']",['United States of America'],['English'],1993,441
False,57000000,en,11.626116,159055768.0,115.0,Demolition Man,6.4,1018.0,"['Crime', 'Action', 'Science Fiction']","['Silver Pictures', 'Warner Bros.']",['United States of America'],['English'],1993,442
False,42000000,en,9.678367,270248367.0,154.0,The Firm,6.6,513.0,"['Drama', 'Mystery', 'Thriller']","['Paramount Pictures', 'Mirage Enterprises', 'Davis Entertainment']",['United States of America'],['English'],1993,454
False,20000000,en,5.990572,153698625.0,112.0,Free Willy,6.0,429.0,"['Family', 'Adventure']","['Canal Plus', 'Regency Enterprises', 'Alcor Films', 'Warner Bros.', 'Donner/Shuler-Donner Productions']","['France', 'United States of America']",['English'],1993,455
False,44000000,en,10.08937,368875760.0,130.0,The Fugitive,7.2,1240.0,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']",['Warner Bros.'],['United States of America'],['English'],1993,457
False,25000000,en,13.482371,133752825.0,86.0,Hot Shots! Part Deux,6.2,463.0,"['Action', 'Comedy', 'War']","['Twentieth Century Fox Film Corporation', 'Sidley Wright & Associates']",['United States of America'],['English'],1993,466
False,40000000,en,12.637158,176997168.0,128.0,In the Line of Fire,6.8,392.0,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']","['Castle Rock Entertainment', 'Columbia Pictures Corporation']",['United States of America'],['English'],1993,474
False,13000000,en,7.405895,65796862.0,133.0,In the Name of the Father,7.6,363.0,['Drama'],"['Universal Pictures', ""Hell's Kitchen Films""]","['United Kingdom', 'Ireland']",['English'],1993,475
False,63000000,en,8.863776,920100000.0,127.0,Jurassic Park,7.6,4956.0,"['Adventure', 'Science Fiction']","['Universal Pictures', 'Amblin Entertainment']",['United States of America'],"['English', 'Español']",1993,480
False,85000000,en,9.434006,137298489.0,130.0,Last Action Hero,6.1,725.0,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']","['Columbia Pictures Corporation', 'Oak Productions']",['United States of America'],['English'],1993,485
False,25000000,en,11.16553,441286195.0,125.0,Mrs. Doubtfire,7.0,1638.0,"['Comedy', 'Drama', 'Family']","['Twentieth Century Fox Film Corporation', 'Blue Wolf']",['United States of America'],['English'],1993,500
False,30000000,en,8.040589,135130999.0,138.0,A Perfect World,7.2,376.0,"['Crime', 'Drama', 'Thriller']","['Malpaso Productions', 'Warner Bros.']",['United States of America'],['English'],1993,507
False,26000000,en,13.373006,206678440.0,125.0,Philadelphia,7.6,1019.0,['Drama'],"['TriStar Pictures', 'Clinica Estetico']",['United States of America'],['English'],1993,508
False,7000000,en,7.436758,116700000.0,121.0,The Piano,7.1,290.0,"['Drama', 'Romance']","['New South Wales Film & Television Office', 'The Australian Film Commission', 'Jan Chapman Productions']","['New Zealand', 'Australia', 'France']","['English', '']",1993,509
False,20000000,en,17.136672,35739755.0,104.0,Robin Hood: Men in Tights,6.4,575.0,['Comedy'],"['Gaumont', 'Twentieth Century Fox Film Corporation', 'Brooksfilms']","['France', 'United States of America']",['English'],1993,520
False,22000000,en,41.725123,321365567.0,195.0,Schindler's List,8.3,4436.0,"['Drama', 'History', 'War']","['Universal Pictures', 'Amblin Entertainment']",['United States of America'],"['Deutsch', 'Polski', 'עִבְרִית', 'English']",1993,527
False,21000000,en,10.234919,227799884.0,105.0,Sleepless in Seattle,6.5,630.0,"['Comedy', 'Drama', 'Romance']",['TriStar Pictures'],['United States of America'],['English'],1993,539
False,28000000,en,96.272374,33139618.0,117.0,Blade Runner,7.9,3833.0,"['Science Fiction', 'Drama', 'Thriller']","['Shaw Brothers', 'Warner Bros.', 'The Ladd Company']","['United States of America', 'Hong Kong', 'United Kingdom']","['English', 'Deutsch', '广州话 / 廣州話', '日本語', 'Magyar']",1982,541
False,18000000,en,17.730913,75634409.0,76.0,The Nightmare Before Christmas,7.6,2135.0,"['Fantasy', 'Animation', 'Family']","['Tim Burton Productions', 'Skellington Productions Inc.', 'Touchstone Pictures']",['United States of America'],['English'],1993,551
False,25000000,en,11.338194,56505065.0,130.0,Tombstone,7.4,632.0,"['Action', 'Adventure', 'Drama', 'History', 'Western']","['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],"['English', 'Latin', 'Español']",1993,553
False,12500000,en,17.189328,12281551.0,120.0,True Romance,7.5,762.0,"['Action', 'Thriller', 'Crime', 'Romance']","['Davis-Films', 'August Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America'],"['English', 'Italiano']",1993,555
False,18000000,en,0.702543,476684675.0,103.0,Home Alone,7.1,2487.0,"['Comedy', 'Family']","['Twentieth Century Fox Film Corporation', 'Hughes Entertainment']",['United States of America'],['English'],1990,586
False,22000000,en,11.945397,505000000.0,127.0,Ghost,6.9,1381.0,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",['Paramount Pictures'],['United States of America'],['English'],1990,587
False,28000000,en,16.357419,504050219.0,90.0,Aladdin,7.4,3495.0,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",['Walt Disney Pictures'],['United States of America'],['English'],1992,588
False,22000000,en,11.654349,424208848.0,181.0,Dances with Wolves,7.6,1084.0,"['Adventure', 'Drama', 'Western']","['Tig Productions', 'Majestic Films International']","['United Kingdom', 'United States of America']",['English'],1990,590
False,35000000,en,19.10673,411348924.0,126.0,Batman,7.0,2145.0,"['Fantasy', 'Action']","['PolyGram Filmed Entertainment', 'The Guber-Peters Company', 'Warner Bros.']","['United Kingdom', 'United States of America']","['English', 'Français']",1989,592
False,19000000,en,4.307222,272742922.0,119.0,The Silence of the Lambs,8.1,4549.0,"['Crime', 'Drama', 'Thriller']","['Orion Pictures', 'Strong Heart/Demme Production']",['United States of America'],['English'],1991,593
False,1488423,en,16.263878,184925486.0,83.0,Snow White and the Seven Dwarfs,6.9,1973.0,"['Fantasy', 'Animation', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],1937,594
False,25000000,en,23.433511,377350553.0,84.0,Beauty and the Beast,7.5,3029.0,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']","['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Silver Screen Partners IV']",['United States of America'],"['Français', 'English']",1991,595
False,2600000,en,14.202284,84300000.0,88.0,Pinocchio,6.9,1412.0,"['Animation', 'Family']","['RKO Radio Pictures', 'Walt Disney Productions']",['United States of America'],['English'],1940,596
False,14000000,en,13.348451,463000000.0,119.0,Pretty Woman,7.0,1807.0,"['Romance', 'Comedy']","['Touchstone Pictures', 'Silver Screen Partners IV']",['United States of America'],"['English', 'Italiano', '日本語']",1990,597
False,7000000,en,12.61469,60611975.0,98.0,Fargo,7.7,2080.0,"['Crime', 'Drama', 'Thriller']","['PolyGram Filmed Entertainment', 'Working Title Films']",['United States of America'],['English'],1996,608
False,4000000,en,9.834047,55675257.0,78.0,The Aristocats,7.1,1287.0,"['Animation', 'Comedy', 'Family', 'Adventure']",['Walt Disney Productions'],['United States of America'],['English'],1970,616
False,30000000,en,10.326213,102616183.0,129.0,Primal Fear,7.4,644.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",['Paramount Pictures'],['United States of America'],"['English', 'Español']",1996,628
False,80000000,en,15.793477,457696359.0,110.0,Mission: Impossible,6.7,2677.0,"['Adventure', 'Action', 'Thriller']","['Paramount Pictures', 'Cruise/Wagner Productions']",['United States of America'],"['English', 'Français', 'Český']",1996,648
False,57000000,en,23.63659,115267375.0,103.0,DragonHeart,6.4,553.0,['Fantasy'],['Universal Pictures'],['United States of America'],['English'],1996,653
False,38000000,en,13.217623,28921264.0,79.0,James and the Giant Peach,6.2,375.0,"['Adventure', 'Animation', 'Family']","['Walt Disney Pictures', 'Allied Filmmakers']",['United States of America'],['English'],1996,661
False,80000000,en,11.054251,250200000.0,88.0,Space Jam,6.5,1335.0,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']","['Warner Bros. Family Entertainment', 'Northern Lights Entertainment', 'Courtside Seats Productions']",['United States of America'],['English'],1996,673
False,31000000,en,10.813579,74151346.0,74.0,Oliver & Company,6.5,372.0,"['Animation', 'Comedy', 'Family']","['Walt Disney Pictures', 'Silver Screen Partners III']",['United States of America'],['English'],1988,709
False,15000000,en,12.860385,24769466.0,101.0,The Craft,6.3,388.0,"['Drama', 'Fantasy', 'Horror', 'Thriller']",['Columbia Pictures'],['United States of America'],['English'],1996,724
False,75000000,en,13.249824,335062621.0,136.0,The Rock,6.9,1474.0,"['Action', 'Adventure', 'Thriller']","['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],['English'],1996,733
False,92000000,en,8.739144,494471524.0,113.0,Twister,6.1,966.0,"['Action', 'Adventure', 'Drama']","['Universal Pictures', 'Amblin Entertainment', 'Warner Bros.', 'Constant c Productions']",['United States of America'],['English'],1996,736
